Category,Brand,Model,Color,Note,Nib Size,Purchase Date,Price,Retailer
Notebook,Jumping Fox Design,Bullet Dotted A5,Blue,,,2020-12-07,$17.95,Amazon
Notebook,Vivid Scribbles,Bullet Dotted A5,Pink,,,2020-12-07,$24.95,Amazon
Notebook,Leuchtturm 1917,Bullet Journal,Emerald,"Emerald, dot grid",,2021-01-05,$24.95,JetPens
Notebook,Rhodia,Webnotebook,Orange,,,2021-01-05,$19.95,JetPens
Notebook,Goulet,Notebook 68gsm A5,Brown,Dot grid,,2021-01-30,$8.00,Goulet Pens
Notebook,Goulet,Notebook 68gsm A5,Black,Lined,,2021-01-30,$8.00,Goulet Pens
Notebook,Traveler's,Notebook,Brown,First Traveler's,,2021-01-30,$49.95,Goulet Pens
Notebook,Traveler's,Notebook Refill Dot Grid,Beige,,,2021-01-30,$5.40,Goulet Pens
Notebook,Traveler's,Notebook Passport refill,Beige,Dot grid,,2021-05-21,$4.20,Goulet Pens
Notebook,Traveler's,Passport Notebook,Blue,,,2021-05-21,$40.95,Goulet Pens
Refill,,Ink Syringe,,,,2020-12-12,$2.50,JetPens
Rollerball Pen,BIGiDESIGN,Ti Arto EDC,Titanium,,,2023-06-21,$90.00,JetPens
Ruler,Midori,Multi-ruler,,,,2020-11-30,$4.75,JetPens
